"DateTime","Unique buyers","Unique buyers"
"2018-02-15 00:00:00",0,0
"2018-02-16 00:00:00",0,0
"2018-02-17 00:00:00",0,0
"2018-02-18 00:00:00",0,0
"2018-02-19 00:00:00",0,0
"2018-02-20 00:00:00",0,0
"2018-02-21 00:00:00",0,0
"2018-02-22 00:00:00",0,0
"2018-02-23 00:00:00",0,0
"2018-02-24 00:00:00",0,0
"2018-02-25 00:00:00",0,0
"2018-02-26 00:00:00",0,0
"2018-02-27 00:00:00",0,0
"2018-02-28 00:00:00",0,0
"2018-03-01 00:00:00",0,0
"2018-03-02 00:00:00",0,0
"2018-03-03 00:00:00",0,0
"2018-03-04 00:00:00",0,0
"2018-03-05 00:00:00",0,0
"2018-03-06 00:00:00",0,0
"2018-03-07 00:00:00",0,0
"2018-03-08 00:00:00",0,0
"2018-03-09 00:00:00",0,0
"2018-03-10 00:00:00",0,0
"2018-03-11 00:00:00",0,0
"2018-03-12 00:00:00",0,0
"2018-03-13 00:00:00",0,0
"2018-03-14 00:00:00",0,0
"2018-03-15 00:00:00",0,0
"2018-03-16 00:00:00",0,0
"2018-03-17 00:00:00",0,0
"2018-03-18 00:00:00",0,0
"2018-03-19 00:00:00",0,0
"2018-03-20 00:00:00",0,0
"2018-03-21 00:00:00",0,0
"2018-03-22 00:00:00",0,0
"2018-03-23 00:00:00",0,0
"2018-03-24 00:00:00",0,0
"2018-03-25 00:00:00",7,7
"2018-03-26 00:00:00",8,8
"2018-03-27 00:00:00",9,9
"2018-03-28 00:00:00",3,3
"2018-03-29 00:00:00",3,3
"2018-03-30 00:00:00",5,5
"2018-03-31 00:00:00",9,9
"2018-04-01 00:00:00",2,2
"2018-04-02 00:00:00",6,6
"2018-04-03 00:00:00",5,5
"2018-04-04 00:00:00",3,3
"2018-04-05 00:00:00",1,1
"2018-04-06 00:00:00",3,3
"2018-04-07 00:00:00",3,3
"2018-04-08 00:00:00",3,3
"2018-04-09 00:00:00",8,8
"2018-04-10 00:00:00",4,4
"2018-04-11 00:00:00",4,4
"2018-04-12 00:00:00",1,1
"2018-04-13 00:00:00",5,5
"2018-04-14 00:00:00",3,3
"2018-04-15 00:00:00",6,6
"2018-04-16 00:00:00",9,9
"2018-04-17 00:00:00",4,4
"2018-04-18 00:00:00",1,1
"2018-04-19 00:00:00",2,2
"2018-04-20 00:00:00",3,3
"2018-04-21 00:00:00",4,4
"2018-04-22 00:00:00",1,1
"2018-04-23 00:00:00",5,5
"2018-04-24 00:00:00",3,3
"2018-04-25 00:00:00",3,3
"2018-04-26 00:00:00",2,2
"2018-04-27 00:00:00",0,0
"2018-04-28 00:00:00",1,1
"2018-04-29 00:00:00",1,1
"2018-04-30 00:00:00",1,1
"2018-05-01 00:00:00",2,2
"2018-05-02 00:00:00",2,2
"2018-05-03 00:00:00",4,4
"2018-05-04 00:00:00",73,73
"2018-05-05 00:00:00",32,32
"2018-05-06 00:00:00",26,26
"2018-05-07 00:00:00",12,12
"2018-05-08 00:00:00",19,19
"2018-05-09 00:00:00",33,33
"2018-05-10 00:00:00",17,17
"2018-05-11 00:00:00",15,15
"2018-05-12 00:00:00",15,15
"2018-05-13 00:00:00",8,8
"2018-05-14 00:00:00",10,10
"2018-05-15 00:00:00",6,6
"2018-05-16 00:00:00",12,12
"2018-05-17 00:00:00",9,9
"2018-05-18 00:00:00",3,3
"2018-05-19 00:00:00",12,12
"2018-05-20 00:00:00",6,6
"2018-05-21 00:00:00",7,7
"2018-05-22 00:00:00",11,11
"2018-05-23 00:00:00",11,11
"2018-05-24 00:00:00",8,8
"2018-05-25 00:00:00",9,9
"2018-05-26 00:00:00",4,4
"2018-05-27 00:00:00",10,10
"2018-05-28 00:00:00",7,7
"2018-05-29 00:00:00",6,6
"2018-05-30 00:00:00",10,10
"2018-05-31 00:00:00",10,10
